epoch,loss,total_power_watt,sample_ids,vk_mag_ut_1,vk_mag_ut_2,vk_mag_ut_3,vk_mag_ut_4,vk_mag_ut_5,vk_mag_ut_6,vk_mag_ut_7,vk_mag_ut_8,vk_mag_ut_9,vk_mag_ut_10,vk_real_ut_1,vk_real_ut_2,vk_real_ut_3,vk_real_ut_4,vk_real_ut_5,vk_real_ut_6,vk_real_ut_7,vk_real_ut_8,vk_real_ut_9,vk_real_ut_10,vk_imag_ut_1,vk_imag_ut_2,vk_imag_ut_3,vk_imag_ut_4,vk_imag_ut_5,vk_imag_ut_6,vk_imag_ut_7,vk_imag_ut_8,vk_imag_ut_9,vk_imag_ut_10,sinr_ut_1,sinr_ut_2,sinr_ut_3,sinr_ut_4,sinr_ut_5,sinr_ut_6,sinr_ut_7,sinr_ut_8,sinr_ut_9,sinr_ut_10,power_ut_1,power_ut_2,power_ut_3,power_ut_4,power_ut_5,power_ut_6,power_ut_7,power_ut_8,power_ut_9,power_ut_10,rate_ut_1,rate_ut_2,rate_ut_3,rate_ut_4,rate_ut_5,rate_ut_6,rate_ut_7,rate_ut_8,rate_ut_9,rate_ut_10,qos_ut_1,qos_ut_2,qos_ut_3,qos_ut_4,qos_ut_5,qos_ut_6,qos_ut_7,qos_ut_8,qos_ut_9,qos_ut_10
1,981.4927978515625,6552.82177734375,1990,0.001939068199135363,0.0013344661565497518,0.0018865143647417426,0.00245355861261487,0.001047150231897831,0.0020575677044689655,0.0023482036776840687,0.0024220847990363836,0.0009075729176402092,0.0005437330692075193,0.0019024453358724713,0.0012744456762447953,0.0018757183570414782,0.0024534829426556826,0.0010457931784912944,0.0020318387541919947,0.002345069544389844,0.0024129855446517467,0.0008468255400657654,0.0005349517450667918,-0.0003750826872419566,0.00039571209345012903,0.00020153656078036875,1.9259316104580648e-05,-5.3293035307433456e-05,-0.0003243709506932646,0.0001212825154652819,0.00020974999642930925,0.0003264584520366043,-9.732568287290633e-05,1.874746323080826e-14,3.205570566137245e-15,1.5902665808005013e-14,4.6445066217461195e-14,5.551105382246889e-15,4.759621787409768e-14,8.047887036692972e-14,3.4552042623521226e-14,8.850780673549377e-16,1.7421396464767125e-16,753.8007202148438,988.8983764648438,796.1542358398438,779.9609375,216.51258850097656,376.4184875488281,377.648681640625,995.658203125,766.2513427734375,501.51824951171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,744.9127807617188,4799.97998046875,2773,0.002117923693731427,0.0012436970137059689,0.0012124908389523625,0.0018309502629563212,0.0007854521390981972,0.00221525807864964,0.0012931397650390863,0.0014848537975922227,0.001770947128534317,0.0010853762505576015,0.002001469023525715,0.0012221152428537607,0.0011260471073910594,0.001824189443141222,0.0007342778844758868,0.0021095029078423977,0.0012600915506482124,0.0014394205063581467,0.0016745487228035927,0.0009768203599378467,0.0006926198257133365,-0.00023068691371008754,0.00044961305684410036,0.0001571992033859715,-0.0002788745623547584,-0.0006762883858755231,0.000290481693809852,-0.0003644987882580608,-0.0005763162043876946,-0.00047314216499216855,3.8978863810702064e-14,4.862117771521927e-15,4.969607946594392e-15,1.8084166976406468e-14,8.90410033878785e-16,4.2269159906179604e-14,6.164446598034938e-15,9.966065990583799e-15,2.5292552882812125e-14,3.3864131591672224e-15,515.9869384765625,491.8805236816406,434.7288513183594,621.2041625976562,427.2828674316406,569.5088500976562,453.43438720703125,487.5708923339844,388.737548828125,409.6453552246094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,526.2504272460938,3522.31689453125,1744,0.0014048918383195996,0.0009550778777338564,0.0008072647615335882,0.0008858469664119184,0.0005652453401125968,0.00026446999981999397,0.0012772120535373688,0.0005351816071197391,0.0017050871392711997,0.0012879756977781653,0.0014048918383195996,0.0009493068791925907,0.0007876837626099586,0.0008852523751556873,0.0005646283971145749,0.0002544760354794562,0.001262656063772738,0.0004925208631902933,0.001689895405434072,0.0012878583511337638,-2.352377208580947e-07,-0.00010483438381925225,-0.00017672200920060277,3.245126208639704e-05,-2.640229467942845e-05,7.201615517260507e-05,0.00019227682787459344,-0.00020938609668519348,0.00022710239863954484,1.738219361868687e-05,9.444718058581724e-15,2.5121694902406145e-15,1.6420905764365375e-15,1.5817915714709248e-15,3.4112663763890844e-16,1.4455436153701063e-17,7.953487755820322e-15,2.1310724266119596e-16,2.370311080388248e-14,6.578500019575363e-15,412.2962341308594,331.08001708984375,258.5196838378906,389.1457824707031,299.1294250488281,338.2994079589844,334.4422912597656,384.79827880859375,356.4574279785156,418.1484680175781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,343.6051940917969,2692.57861328125,2789,0.0015014475211501122,0.0010045570088550448,0.0007150419987738132,0.0011529667535796762,0.001744908164255321,0.0010034081060439348,0.0009786213049665093,0.0012191099813207984,0.0009715643245726824,0.0005903263227082789,0.0014959978871047497,0.0009726479765959084,0.0006904796464368701,0.0010340994922444224,0.0017243751790374517,0.0009796590311452746,0.0009782894048839808,0.0012052204692736268,0.0009288598084822297,0.0005730507546104491,-0.0001278079580515623,0.00025117871700786054,0.0001858034374890849,0.000509873207192868,0.00026689874357543886,-0.00021701630612369627,2.5486569938948378e-05,-0.00018350125174038112,-0.000284880050458014,0.0001417674357071519,1.56539921812842e-14,3.601615855460807e-15,1.4611175403326832e-15,5.079472355018011e-15,3.557330347176216e-14,3.8372638095187424e-15,3.782828813646971e-15,6.711848839978081e-15,3.970389436739859e-15,5.087638282025135e-16,324.5204772949219,282.63616943359375,178.84129333496094,347.756591796875,260.4911193847656,264.0679016113281,242.3643798828125,328.9698486328125,224.32611083984375,238.60476684570312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,195.61587524414062,1621.282958984375,9831,0.0006989014218561351,0.0005256307194940746,0.0008512090425938368,0.00134689686819911,0.0010617144871503115,0.001153288409113884,0.000642204366158694,0.0009387694299221039,0.00041852594586089253,0.00048393895849585533,0.0006941042956896126,0.0004831434926018119,0.0008488044841215014,0.0013214896898716688,0.0010065186070278287,0.0011280671460554004,0.0006091335671953857,0.0009367394377477467,0.0004091896116733551,0.0004826987278647721,8.174628601409495e-05,0.00020702667825389653,6.393573858076707e-05,0.0002603770699352026,0.00033787277061492205,0.0002398722863290459,0.00020342755306046456,-6.170281994855031e-05,-8.790811261860654e-05,3.462438326096162e-05,1.2742806010141057e-15,3.9091714010264754e-16,6.370723261130357e-15,1.3362882408409198e-14,1.1008281586906855e-14,9.551867726409393e-15,1.2175194409109373e-15,3.5505037698411145e-15,2.7538637242947286e-16,3.9115931211622346e-16,187.16529846191406,195.19334411621094,82.37261962890625,246.18637084960938,115.38204956054688,185.13572692871094,139.65097045898438,218.6615753173828,111.3714599609375,140.1636199951172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,81.99789428710938,1677.9005126953125,8405,0.0010538120986893773,0.0007995782652869821,0.001058967667631805,0.0008300019544549286,0.001009858795441687,0.0007187642622739077,0.00048010790487751365,0.0008098834659904242,0.0008896943763829768,0.00041430018609389663,0.0010455794399604201,0.0007992080645635724,0.0010582376271486282,0.0008091064519248903,0.0010097697377204895,0.0007178460364229977,0.00047939331852830946,0.0008045452414080501,0.0008519333205185831,0.00040716349030844867,-0.00013146744458936155,2.4328257495653816e-05,3.931413812097162e-05,-0.00018506763444747776,1.3415167813946027e-05,3.632010702858679e-05,2.6184690796071663e-05,-9.283402323490009e-05,-0.0002564482856541872,7.656725938431919e-05,6.106875886192431e-15,2.2592882273543167e-15,1.3011414557275499e-14,2.2284646984037327e-15,5.721798191228155e-15,1.9113383158088013e-15,3.0340529588235906e-16,2.1108039869753483e-15,5.014268182254849e-15,1.8322411880541126e-16,201.86474609375,180.84190368652344,96.61241912841797,212.8813018798828,181.69244384765625,139.58383178710938,175.0487823486328,203.7365264892578,124.90579223632812,160.73284912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12.784724235534668,922.1426391601562,3969,0.0006622232613153756,0.0007942924275994301,0.000860882515553385,0.0008108288166113198,0.0008621955057606101,0.0009897430427372456,0.0005037935334257782,0.0008955166558735073,0.0006359426770359278,0.000595151970628649,0.0006586460513062775,0.00073008774779737,0.0008339547784999013,0.0008066791342571378,0.0008570660138502717,0.0009809210896492004,0.0004891958669759333,0.000885194051079452,0.0006203709053806961,0.0005842808750458062,6.873883830849081e-05,-0.00031284551369026303,0.00021363083214964718,-8.192749373847619e-05,9.390894410898909e-05,-0.0001318525173701346,0.00012039662397000939,0.0001355787826469168,-0.00013986791600473225,-0.00011323310900479555,1.906174802962339e-15,3.5261388671133445e-15,7.621250093688137e-15,4.128321694370739e-15,6.6029564018614366e-15,9.378441965623811e-15,6.957686918028841e-16,7.635936797960579e-15,2.073786953114441e-15,1.3897123452417904e-15,100.85137176513672,112.8363265991211,72.04039001464844,104.65740203857422,83.65872192382812,102.27886199951172,92.54911804199219,84.1897201538086,78.8377914428711,90.24297332763672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.27169764041900635,668.8660888671875,1736,0.00036660637124441564,0.000997405033558607,0.0004494818567764014,0.0005631120875477791,0.0003254215407650918,0.00026348652318120003,0.0004722482990473509,0.0007352259126491845,0.0004603621200658381,0.00021452120563481003,0.00036638646270148456,0.0009924641344696283,0.0004326463385950774,0.0005046757287345827,0.00032365621882490814,0.0002630939125083387,0.0004323678440414369,0.0006545307696796954,0.00045437130029313266,0.00021446480241138488,-1.269629592570709e-05,9.91548877209425e-05,0.00012186500680400059,0.0002497952082194388,3.385022864677012e-05,1.4378706509887706e-05,-0.00018993814592249691,-0.0003348829923197627,-7.402698247460648e-05,4.919197181152413e-06,2.5162860703642704e-16,1.007674100953794e-14,8.011764363745246e-16,1.3063295748811298e-15,1.7176974519925056e-16,7.89186354133895e-17,8.156998750463837e-16,3.752544844683788e-15,7.814147341986082e-16,4.363738051092049e-17,71.7574234008789,98.17317962646484,50.92689895629883,76.94022369384766,65.26274108886719,61.04934310913086,60.950599670410156,77.83663177490234,57.45707321166992,48.51198196411133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1447051763534546,663.6519775390625,7079,0.0008716455777175725,0.0009199728956446052,0.00029567419551312923,0.0005056618829257786,0.0012783253332599998,0.00044476770563051105,0.000914357602596283,0.0002918698301073164,0.00030985052580945194,0.0006969959940761328,0.0008704274077899754,0.0009116340661421418,0.00029107416048645973,0.00048413622425869107,0.0012354118516668677,0.00044476689072325826,0.0009132064878940582,0.00027987363864667714,0.00029135769000276923,0.0006900033331476152,-4.606680158758536e-05,-0.00012358576350379735,5.1952571084257215e-05,0.00014596602704841644,-0.0003284407430328429,8.530791433258855e-07,4.5867000153521076e-05,8.281750342575833e-05,0.00010544217366259545,-9.848236368270591e-05,6.015129512510582e-15,8.338434584194247e-15,1.93836885769136e-16,1.028463381149672e-15,3.441778451324963e-14,6.852178905932069e-16,1.3002323352652619e-14,8.570411709217019e-17,2.1083851785153452e-16,3.7941680437118645e-15,95.9271469116211,85.87018585205078,39.41341781616211,63.54464340209961,77.554931640625,57.0861930847168,53.736602783203125,84.64119720458984,43.700439453125,62.177215576171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,558.198486328125,8212,0.00035900206421501935,0.0006280734669417143,0.0004022218054160476,0.0004201798001304269,0.00026027660351246595,0.0005110395140945911,0.0008959711994975805,0.0003353206848260015,0.0004040492058265954,0.00026408443227410316,0.0003510009846650064,0.0006254721665754914,0.0003966526419389993,0.0004163492703810334,0.000254713260801509,0.0005026448634453118,0.0008956646197475493,0.00033490732312202454,0.00040224866825155914,0.0002394168550381437,7.53710774006322e-05,-5.710381446988322e-05,-6.670125731034204e-05,-5.6606986618135124e-05,-5.352632433641702e-05,-9.224708628607914e-05,-2.3437076379195787e-05,-1.6644589777570218e-05,-3.810212365351617e-05,0.00011144577001687139,2.6251671264756863e-16,2.578183214743115e-15,9.95717934441768e-16,4.3734018367523836e-16,8.669979108677782e-17,9.768301585091812e-16,9.217928375086174e-15,2.0531074113308356e-16,7.167237045828043e-16,1.0619633886297918e-16,63.24958801269531,60.332977294921875,26.27561378479004,71.24395751953125,52.91141128540039,69.79521179199219,69.8826904296875,61.55400848388672,37.17166519165039,45.781333923339844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
