epoch,loss,total_power,sample_ids,vk_mag_ut_1,vk_mag_ut_2,vk_mag_ut_3,vk_mag_ut_4,vk_mag_ut_5,vk_mag_ut_6,vk_mag_ut_7,vk_mag_ut_8,vk_mag_ut_9,vk_mag_ut_10,vk_real_ut_1,vk_real_ut_2,vk_real_ut_3,vk_real_ut_4,vk_real_ut_5,vk_real_ut_6,vk_real_ut_7,vk_real_ut_8,vk_real_ut_9,vk_real_ut_10,vk_imag_ut_1,vk_imag_ut_2,vk_imag_ut_3,vk_imag_ut_4,vk_imag_ut_5,vk_imag_ut_6,vk_imag_ut_7,vk_imag_ut_8,vk_imag_ut_9,vk_imag_ut_10,sinr_ut_1,sinr_ut_2,sinr_ut_3,sinr_ut_4,sinr_ut_5,sinr_ut_6,sinr_ut_7,sinr_ut_8,sinr_ut_9,sinr_ut_10,power_ut_1,power_ut_2,power_ut_3,power_ut_4,power_ut_5,power_ut_6,power_ut_7,power_ut_8,power_ut_9,power_ut_10,rate_ut_1,rate_ut_2,rate_ut_3,rate_ut_4,rate_ut_5,rate_ut_6,rate_ut_7,rate_ut_8,rate_ut_9,rate_ut_10,qos_ut_1,qos_ut_2,qos_ut_3,qos_ut_4,qos_ut_5,qos_ut_6,qos_ut_7,qos_ut_8,qos_ut_9,qos_ut_10
1,16.6329345703125,956.76171875,1679,0.0,2.278957689227923e-09,1.2903004220632397e-09,0.0,0.0,0.0,0.0,2.0870818406848457e-09,4.445137591346793e-10,0.0,0.0,1.0188150323386935e-09,-1.0850851328569888e-09,0.0,0.0,0.0,0.0,5.796573637750768e-11,-3.4624556000117934e-10,0.0,0.0,2.0385446664050733e-09,6.981871747413493e-10,0.0,0.0,0.0,-0.0,-2.0862767069473875e-09,2.787588493369242e-10,-0.0,0.0,4.558135931904027e-25,4.728953037351707e-26,0.0,0.0,0.0,0.0,7.469165545928284e-26,3.913519306316007e-27,0.0,0.0,148.29544067382812,146.8819122314453,0.0,0.0,0.0,0.0,636.5841674804688,25.000194549560547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,7666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,1136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,4010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
